Updated,Confirmed,Deaths,Recovered
20 Apr 20 16:36 PDT,13823,619,0
19 Apr 20 16:41 PDT,12341,600,0
18 Apr 20 15:32 PDT,12021,576,0
17 Apr 20 16:30 PDT,11400,497,0
16 Apr 20 16:30 PDT,10854,457,0
15 Apr 20 15:56 PDT,10517,405,0
14 Apr 20 16:33 PDT,10047,360,0
13 Apr 20 16:07 PDT,9433,322,0
12 Apr 20 16:18 PDT,8894,269,0
11 Apr 20 15:45 PDT,8453,244,0
10 Apr 20 15:54 PDT,8443,242,0
09 Apr 20 16:02 PDT,7955,223,0
08 Apr 20 15:51 PDT,7559,198,0
07 Apr 20 16:04 PDT,6936,169,0
06 Apr 20 16:22 PDT,6377,147,0
05 Apr 20 16:06 PDT,5955,132,0
04 Apr 20 16:34 PDT,4605,93,0
03 Apr 20 15:46 PDT,4566,89,0
02 Apr 20 16:25 PDT,4045,78,0
01 Apr 20 14:58 PDT,3518,64,0
31 Mar 20 16:43 PDT,3019,54,0
30 Mar 20 15:52 PDT,2474,44,0
29 Mar 20 16:08 PDT,1829,32,0
28 Mar 20 16:05 PDT,1465,26,0
27 Mar 20 15:14 PDT,1465,26,0
26 Mar 20 16:48 PDT,1229,21,0
25 Mar 20 16:33 PDT,812,13,0
24 Mar 20 16:37 PDT,662,11,0
23 Mar 20 16:19 PDT,536,7,0
22 Mar 20 16:45 PDT,407,5,0
