Updated,Confirmed,Deaths,Recovered
01 Jun 20 19:33 PDT,203764,21607,0
31 May 20 19:32 PDT,203303,21569,0
30 May 20 19:32 PDT,202751,21512,0
29 May 20 19:32 PDT,201999,21477,0
28 May 20 19:32 PDT,201051,21415,0
27 May 20 19:32 PDT,199968,21362,0
26 May 20 19:32 PDT,199301,21314,0
25 May 20 19:32 PDT,198731,21259,0
24 May 20 19:32 PDT,198123,21216,0
23 May 20 19:32 PDT,197266,21138,0
22 May 20 19:32 PDT,196484,21086,0
21 May 20 19:36 PDT,195675,21003,0
20 May 20 19:32 PDT,194550,20934,0
19 May 20 19:32 PDT,193821,20887,0
18 May 20 19:32 PDT,193230,20806,0
17 May 20 19:32 PDT,192593,20720,0
16 May 20 19:32 PDT,191600,20576,0
15 May 20 19:32 PDT,190357,20476,0
14 May 20 19:33 PDT,188545,20406,0
13 May 20 20:32 PDT,187250,20316,0
12 May 20 20:32 PDT,186123,20237,0
11 May 20 20:32 PDT,185357,20056,0
10 May 20 19:32 PDT,184417,19789,0
09 May 20 19:32 PDT,183289,19818,0
08 May 20 19:32 PDT,181783,19561,0
07 May 20 19:32 PDT,180216,19626,0
06 May 20 19:32 PDT,178351,19174,0
05 May 20 19:32 PDT,176874,19067,0
04 May 20 19:32 PDT,175651,19057,0
03 May 20 19:32 PDT,174331,18925,0
02 May 20 19:32 PDT,172354,18491,0
01 May 20 19:32 PDT,169690,18399,0
30 Apr 20 19:32 PDT,167478,18069,0
29 Apr 20 19:32 PDT,164841,18076,0
28 Apr 20 19:32 PDT,162338,17682,0
27 Apr 20 19:30 PDT,160489,17515,0
26 Apr 20 19:30 PDT,158258,17280,0
25 Apr 20 19:30 PDT,155113,17126,0
24 Apr 20 23:30 PDT,150473,16646,0
23 Apr 20 20:30 PDT,145855,16388,0
22 Apr 20 16:30 PDT,147297,15074,0
21 Apr 20 16:30 PDT,144190,14887,0
20 Apr 20 16:36 PDT,141235,14604,0
19 Apr 20 16:41 PDT,138700,14451,0
18 Apr 20 15:32 PDT,135572,13202,0
17 Apr 20 16:30 PDT,127352,13202,0
16 Apr 20 16:30 PDT,123146,11477,0
15 Apr 20 15:56 PDT,118302,8455,0
14 Apr 20 16:33 PDT,110465,7905,0
13 Apr 20 16:07 PDT,106763,7349,0
12 Apr 20 16:18 PDT,103208,6898,0
11 Apr 20 15:45 PDT,98308,6367,0
10 Apr 20 15:54 PDT,92384,5820,0
09 Apr 20 16:02 PDT,87028,5150,0
08 Apr 20 15:51 PDT,81803,4571,0
07 Apr 20 16:04 PDT,76876,4009,0
06 Apr 20 16:22 PDT,72181,3485,0
05 Apr 20 16:06 PDT,67551,2256,0
04 Apr 20 16:34 PDT,63306,1905,0
03 Apr 20 15:46 PDT,57159,1584,0
02 Apr 20 16:25 PDT,51809,1397,0
01 Apr 20 14:58 PDT,47439,1139,0
31 Mar 20 16:43 PDT,43119,932,0
30 Mar 20 15:52 PDT,37453,790,0
29 Mar 20 16:08 PDT,33768,678,0
28 Mar 20 16:05 PDT,29776,517,0
27 Mar 20 15:14 PDT,25573,366,0
26 Mar 20 16:48 PDT,21873,281,0
25 Mar 20 16:33 PDT,17856,199,0
24 Mar 20 16:37 PDT,14904,131,0
23 Mar 20 16:19 PDT,12305,99,0
22 Mar 20 16:45 PDT,9654,63,0
