Updated,Confirmed,Deaths,Recovered
13 Apr 20 16:07 PDT,267,2,0
12 Apr 20 16:18 PDT,264,2,0
11 Apr 20 15:45 PDT,260,2,0
10 Apr 20 15:54 PDT,243,2,0
09 Apr 20 16:02 PDT,228,2,0
08 Apr 20 15:51 PDT,218,2,0
07 Apr 20 16:04 PDT,192,2,0
06 Apr 20 16:22 PDT,174,2,0
05 Apr 20 16:06 PDT,168,1,0
04 Apr 20 16:34 PDT,152,1,0
03 Apr 20 15:46 PDT,139,1,0
02 Apr 20 16:25 PDT,111,1,0
01 Apr 20 14:58 PDT,99,0,0
31 Mar 20 16:43 PDT,88,0,0
30 Mar 20 15:52 PDT,68,0,0
29 Mar 20 16:08 PDT,64,0,0
28 Mar 20 16:05 PDT,47,0,0
27 Mar 20 15:14 PDT,32,0,0
26 Mar 20 16:48 PDT,26,0,0
25 Mar 20 16:33 PDT,24,0,0
24 Mar 20 16:37 PDT,18,0,0
23 Mar 20 16:19 PDT,18,0,0
22 Mar 20 16:45 PDT,13,0,0
